trust_code,trust_name,total_attendances,within_4hrs,source_file,compliance_pct
QMJ,NHS North Central London Integrated Care Board,70744.0,51443.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,72.72
QRV,NHS North West London Integrated Care Board,106167.0,81618.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,76.88
QPM,NHS Northamptonshire Integrated Care Board,33797.0,24002.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,71.02
QT1,NHS Nottingham And Nottinghamshire Integrated Care Board,40893.0,26028.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,63.65
QKK,NHS South East London Integrated Care Board,81733.0,60333.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,73.82
QOC,"NHS Shropshire, Telford And Wrekin Integrated Care Board",15771.0,9400.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,59.6
QSL,NHS Somerset Integrated Care Board,21359.0,15285.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,71.56
QWE,NHS South West London Integrated Care Board,60937.0,44711.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,73.37
QF7,NHS South Yorkshire Integrated Care Board,60857.0,42700.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,70.16
QNC,NHS Staffordshire And Stoke-On-Trent Integrated Care Board,23151.0,14992.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,64.76
QJG,NHS Suffolk And North East Essex Integrated Care Board,37173.0,26624.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,71.62
QXU,NHS Surrey Heartlands Integrated Care Board,35586.0,25457.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,71.54
QNX,NHS Sussex Integrated Care Board,63780.0,48360.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,75.82
QUA,NHS Black Country Integrated Care Board,78694.0,60882.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,77.37
QWO,NHS West Yorkshire Integrated Care Board,91613.0,65284.0,November-2024-AE-by-provider-XEZnh-revised-1.xls,71.26
-,-,2345860.0,1740698.0,November-2025-AE-by-provider-0Qu74-1.xls,74.2
QOX,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",30828.0,22001.0,November-2025-AE-by-provider-0Qu74-1.xls,71.37
QHG,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",44612.0,33970.0,November-2025-AE-by-provider-0Qu74-1.xls,76.15
QHL,NHS Birmingham And Solihull Integrated Care Board,56903.0,40973.0,November-2025-AE-by-provider-0Qu74-1.xls,72.0
QUY,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",36058.0,26390.0,November-2025-AE-by-provider-0Qu74-1.xls,73.19
